Sign Name,Confidence,Bounding Box
Speed Limit 80,0.70,"[[327.72100830078125, 194.3096466064453, 341.0837707519531, 219.1650848388672]]"
Speed Limit 80,0.86,"[[350.0918884277344, 187.2591552734375, 362.8521728515625, 215.6554718017578]]"
Speed Limit 90,0.46,"[[28.408811569213867, 204.56912231445312, 34.01720428466797, 214.710693359375]]"
Speed Limit 80,0.67,"[[375.7987060546875, 177.72239685058594, 387.58233642578125, 210.84707641601562]]"
Speed Limit 90,0.58,"[[24.532976150512695, 202.63241577148438, 29.67267417907715, 214.01336669921875]]"
Speed Limit 110,0.29,"[[375.8887634277344, 177.89190673828125, 387.2074279785156, 211.14117431640625]]"
Red Light,0.90,"[[226.98828125, 202.3341522216797, 233.5070037841797, 220.05935668945312]]"
Red Light,0.82,"[[266.1961364746094, 199.3509521484375, 272.4803161621094, 218.0056915283203]]"
Green Light,0.32,"[[250.42979431152344, 217.20425415039062, 253.0364227294922, 224.96958923339844]]"
Red Light,0.81,"[[200.11013793945312, 200.7770233154297, 207.11671447753906, 219.8231201171875]]"
Red Light,0.80,"[[240.8409881591797, 199.48846435546875, 247.72177124023438, 218.4161834716797]]"
Green Light,0.28,"[[223.71600341796875, 217.70787048339844, 226.52261352539062, 225.78509521484375]]"
Red Light,0.92,"[[160.20632934570312, 196.80368041992188, 167.31031799316406, 217.57861328125]]"
Red Light,0.84,"[[204.30328369140625, 197.556640625, 211.9575958251953, 217.6987762451172]]"
Red Light,0.93,"[[202.43226623535156, 196.2316436767578, 210.35128784179688, 216.8101806640625]]"
Red Light,0.91,"[[155.83221435546875, 194.60824584960938, 163.3983154296875, 216.6127166748047]]"
Green Light,0.59,"[[183.63101196289062, 217.42681884765625, 186.6759796142578, 225.30592346191406]]"
Red Light,0.93,"[[154.34774780273438, 188.84947204589844, 163.29071044921875, 214.60580444335938]]"
Red Light,0.90,"[[208.9995574951172, 189.2545928955078, 218.2545166015625, 215.09307861328125]]"
Green Light,0.78,"[[189.37045288085938, 216.318359375, 192.52040100097656, 224.25094604492188]]"
Green Light,0.47,"[[208.5525665283203, 217.0326385498047, 211.33172607421875, 225.7420196533203]]"
Red Light,0.93,"[[208.75953674316406, 186.19139099121094, 219.32687377929688, 214.14996337890625]]"
Red Light,0.89,"[[151.05044555664062, 186.11672973632812, 160.48284912109375, 213.00872802734375]]"
Green Light,0.80,"[[188.904541015625, 215.87274169921875, 192.25555419921875, 224.94017028808594]]"
Green Light,0.47,"[[208.51107788085938, 216.4216766357422, 211.4649658203125, 225.5452423095703]]"
Red Light,0.88,"[[208.7909698486328, 182.71823120117188, 220.35421752929688, 212.72662353515625]]"
Red Light,0.88,"[[147.36708068847656, 183.2347869873047, 157.4306182861328, 211.93821716308594]]"
Green Light,0.80,"[[188.32640075683594, 215.9012451171875, 191.98812866210938, 224.7051239013672]]"
Green Light,0.55,"[[208.63414001464844, 216.36636352539062, 211.57664489746094, 225.22999572753906]]"
Red Light,0.90,"[[209.0087127685547, 179.5100555419922, 220.88343811035156, 211.54588317871094]]"
Red Light,0.86,"[[143.06558227539062, 179.5138397216797, 153.4464111328125, 210.9586181640625]]"
Green Light,0.85,"[[188.00015258789062, 215.43568420410156, 191.50025939941406, 224.72055053710938]]"
Green Light,0.67,"[[208.6222381591797, 215.97677612304688, 212.0586700439453, 225.17965698242188]]"
Red Light,0.89,"[[138.53956604003906, 176.39430236816406, 149.78860473632812, 209.1617431640625]]"
Red Light,0.87,"[[209.28163146972656, 176.05148315429688, 221.8555450439453, 210.23440551757812]]"
Green Light,0.82,"[[187.68869018554688, 215.2460479736328, 191.25265502929688, 224.96763610839844]]"
Green Light,0.57,"[[208.56906127929688, 215.6629638671875, 212.002197265625, 225.13890075683594]]"
Red Light,0.92,"[[209.8850860595703, 158.22293090820312, 226.26248168945312, 203.11965942382812]]"
Green Light,0.87,"[[208.4585418701172, 214.37557983398438, 212.25999450683594, 225.03170776367188]]"
Red Light,0.85,"[[120.2748794555664, 160.92745971679688, 133.24415588378906, 203.04983520507812]]"
Green Light,0.67,"[[186.17945861816406, 214.39796447753906, 190.09683227539062, 224.69203186035156]]"
Red Light,0.93,"[[210.8500213623047, 139.24298095703125, 231.5035400390625, 195.14210510253906]]"
Green Light,0.86,"[[208.4920196533203, 213.24801635742188, 212.37574768066406, 224.57672119140625]]"
Red Light,0.84,"[[102.68656921386719, 146.16571044921875, 118.56489562988281, 196.1744842529297]]"
Red Light,0.95,"[[210.6958465576172, 110.08702087402344, 239.56387329101562, 181.9554901123047]]"
Green Light,0.85,"[[183.60049438476562, 212.35595703125, 188.05377197265625, 223.8575897216797]]"
Green Light,0.80,"[[208.30369567871094, 211.94422912597656, 212.77378845214844, 223.75550842285156]]"
Green Light,0.57,"[[210.74063110351562, 109.74742126464844, 239.55677795410156, 181.82003784179688]]"
Red Light,0.90,"[[212.02503967285156, 53.62457275390625, 256.05853271484375, 153.83143615722656]]"
Green Light,0.86,"[[208.38429260253906, 210.70445251464844, 213.11337280273438, 223.391357421875]]"
Green Light,0.82,"[[182.3859100341797, 210.92428588867188, 186.8296661376953, 223.24444580078125]]"
Green Light,0.86,"[[176.8863983154297, 206.68824768066406, 182.4044952392578, 221.95713806152344]]"
Green Light,0.86,"[[208.70994567871094, 206.86627197265625, 213.8750762939453, 222.16744995117188]]"
Green Light,0.86,"[[174.7782745361328, 205.14588928222656, 180.70372009277344, 221.41160583496094]]"
Green Light,0.82,"[[208.39956665039062, 205.28689575195312, 214.1976318359375, 221.54910278320312]]"
Speed Limit 120,0.81,"[[384.10784912109375, 202.84645080566406, 389.4555969238281, 214.5605010986328]]"
Green Light,0.94,"[[172.02723693847656, 202.4333038330078, 178.18406677246094, 220.1747589111328]]"
Green Light,0.92,"[[208.53099060058594, 203.1492156982422, 214.9438018798828, 220.77590942382812]]"
Green Light,0.88,"[[208.548828125, 200.5103759765625, 215.4315185546875, 219.70712280273438]]"
Green Light,0.86,"[[168.889892578125, 200.54818725585938, 175.7700653076172, 219.2852783203125]]"
Green Light,0.94,"[[165.5970001220703, 197.87806701660156, 172.63075256347656, 218.3482208251953]]"
Green Light,0.86,"[[208.8400421142578, 197.8035125732422, 216.3970489501953, 218.6132049560547]]"
Green Light,0.90,"[[163.14004516601562, 195.8963623046875, 171.08798217773438, 217.80784606933594]]"
Green Light,0.89,"[[208.70394897460938, 196.30868530273438, 216.98387145996094, 217.94570922851562]]"
Green Light,0.85,"[[158.3500213623047, 191.8431854248047, 166.6036834716797, 216.18247985839844]]"
Green Light,0.79,"[[208.93869018554688, 192.1428985595703, 217.48263549804688, 216.24594116210938]]"
Green Light,0.87,"[[208.9323272705078, 186.94117736816406, 219.10154724121094, 214.74485778808594]]"
Green Light,0.85,"[[152.3876495361328, 187.00540161132812, 161.50518798828125, 213.7650146484375]]"
Green Light,0.93,"[[209.47982788085938, 181.4147491455078, 220.551025390625, 212.8213653564453]]"
Green Light,0.87,"[[145.0785369873047, 181.27381896972656, 155.3694610595703, 211.8746795654297]]"
Green Light,0.93,"[[209.45681762695312, 176.67391967773438, 221.51673889160156, 210.98411560058594]]"
Green Light,0.88,"[[140.5395050048828, 177.5317840576172, 151.45050048828125, 210.09506225585938]]"
Green Light,0.93,"[[123.3515853881836, 163.31214904785156, 136.72702026367188, 203.6772003173828]]"
Green Light,0.92,"[[210.58091735839844, 160.8379669189453, 225.3495330810547, 204.50216674804688]]"
Green Light,0.94,"[[210.82391357421875, 144.0334930419922, 230.44395446777344, 198.87704467773438]]"
Green Light,0.92,"[[106.98028564453125, 149.83319091796875, 122.00720977783203, 199.2332305908203]]"
Speed Limit 110,0.53,"[[376.3158874511719, 205.47276306152344, 381.52618408203125, 215.78024291992188]]"
Green Light,0.42,"[[219.63230895996094, 177.4622802734375, 226.0926055908203, 181.80296325683594]]"
Green Light,0.25,"[[219.88836669921875, 177.16197204589844, 228.63107299804688, 181.9442596435547]]"
Green Light,0.87,"[[210.7436065673828, 117.35408020019531, 238.2955322265625, 184.74607849121094]]"
Green Light,0.32,"[[83.20333099365234, 131.38929748535156, 101.19867706298828, 188.3148193359375]]"
Green Light,0.37,"[[206.9681396484375, 173.65692138671875, 213.1969451904297, 177.7325897216797]]"
Green Light,0.89,"[[210.72251892089844, 96.27635192871094, 243.98532104492188, 175.99493408203125]]"
Green Light,0.63,"[[205.9790802001953, 166.6383514404297, 214.14923095703125, 171.6056365966797]]"
Green Light,0.62,"[[206.3401641845703, 161.3355255126953, 215.0632781982422, 166.39524841308594]]"
Green Light,0.75,"[[206.86834716796875, 146.18316650390625, 215.67001342773438, 152.83551025390625]]"
Green Light,0.78,"[[203.70846557617188, 123.81224060058594, 216.25881958007812, 132.8190155029297]]"
Green Light,0.70,"[[204.12132263183594, 100.72264099121094, 218.3155975341797, 110.06889343261719]]"
Green Light,0.83,"[[201.6830596923828, 65.12223815917969, 221.02706909179688, 79.01355743408203]]"
Red Light,0.31,"[[207.00991821289062, 172.88345336914062, 213.7082061767578, 176.95277404785156]]"
Green Light,0.83,"[[201.67369079589844, 65.11853790283203, 221.028564453125, 79.02584838867188]]"
Red Light,0.32,"[[207.02261352539062, 172.89337158203125, 213.67218017578125, 176.92247009277344]]"
Green Light,0.82,"[[201.0536346435547, 34.22049331665039, 223.6085205078125, 50.45133972167969]]"
Green Light,0.26,"[[207.32122802734375, 168.3744354248047, 214.94786071777344, 173.67398071289062]]"
Red Light,0.70,"[[207.8541259765625, 144.84109497070312, 215.9659423828125, 150.75592041015625]]"
Speed Limit 120,0.49,"[[290.08367919921875, 213.40261840820312, 294.8708190917969, 224.97952270507812]]"
Speed Limit 120,0.48,"[[290.0480041503906, 213.3857879638672, 294.903564453125, 224.92486572265625]]"
Speed Limit 120,0.40,"[[293.9423522949219, 211.9196319580078, 299.2553405761719, 224.7691192626953]]"
Speed Limit 120,0.40,"[[293.9457092285156, 211.92356872558594, 299.25482177734375, 224.7613067626953]]"
Speed Limit 120,0.63,"[[298.88970947265625, 210.3419189453125, 304.867919921875, 224.3481903076172]]"
Speed Limit 110,0.59,"[[298.7641906738281, 210.2598876953125, 304.7712707519531, 224.09475708007812]]"
Speed Limit 120,0.71,"[[304.4999084472656, 208.95872497558594, 311.83416748046875, 223.42408752441406]]"
Speed Limit 120,0.54,"[[320.0860900878906, 203.5384521484375, 329.7016906738281, 221.72630310058594]]"
Speed Limit 120,0.82,"[[330.0793151855469, 200.41343688964844, 341.2132568359375, 219.9620361328125]]"
Speed Limit 120,0.59,"[[342.5732116699219, 196.31759643554688, 354.9202575683594, 218.35130310058594]]"
Speed Limit 80,0.42,"[[342.400634765625, 195.97776794433594, 354.6424865722656, 217.99017333984375]]"
Speed Limit 120,0.59,"[[342.5723571777344, 196.31031799316406, 354.9074401855469, 218.35382080078125]]"
Speed Limit 80,0.44,"[[342.3997802734375, 195.9686279296875, 354.63165283203125, 217.97714233398438]]"
Speed Limit 120,0.65,"[[372.5718688964844, 185.53738403320312, 387.9797058105469, 212.71983337402344]]"
Speed Limit 120,0.66,"[[372.5877685546875, 185.5410919189453, 387.98052978515625, 212.72926330566406]]"
Speed Limit 120,0.38,"[[391.07061767578125, 178.9173126220703, 404.606201171875, 208.66810607910156]]"
Speed Limit 80,0.38,"[[390.94183349609375, 178.4561004638672, 404.31475830078125, 208.7837371826172]]"
Speed Limit 110,0.37,"[[197.30059814453125, 222.97366333007812, 201.91494750976562, 229.69754028320312]]"
Red Light,0.37,"[[249.69985961914062, 194.3003692626953, 254.55255126953125, 197.3419189453125]]"
Red Light,0.39,"[[249.69764709472656, 194.29708862304688, 254.56463623046875, 197.33729553222656]]"
Speed Limit 110,0.37,"[[197.3013458251953, 222.975830078125, 201.9171905517578, 229.6993408203125]]"
Speed Limit 110,0.42,"[[191.59490966796875, 221.90476989746094, 196.3245086669922, 229.26678466796875]]"
Red Light,0.39,"[[248.62026977539062, 192.8858642578125, 255.35133361816406, 196.3026580810547]]"
Speed Limit 110,0.34,"[[188.33457946777344, 222.20994567871094, 193.18173217773438, 228.2262420654297]]"
Speed Limit 110,0.35,"[[184.52989196777344, 221.9742889404297, 190.28614807128906, 229.12916564941406]]"
Speed Limit 110,0.36,"[[184.5183868408203, 221.9800567626953, 190.29269409179688, 229.1402130126953]]"
Speed Limit 110,0.78,"[[180.3258819580078, 220.75489807128906, 186.03822326660156, 228.4346160888672]]"
Speed Limit 110,0.78,"[[176.37307739257812, 220.1001434326172, 182.0615234375, 228.45428466796875]]"
Speed Limit 110,0.77,"[[176.38465881347656, 220.1079559326172, 182.0504150390625, 228.40565490722656]]"
Speed Limit 110,0.84,"[[171.06480407714844, 219.1812744140625, 177.93154907226562, 227.84423828125]]"
Red Light,0.40,"[[239.9744110107422, 188.7305145263672, 245.9048614501953, 192.12457275390625]]"
Speed Limit 110,0.86,"[[165.84828186035156, 218.44534301757812, 173.06460571289062, 227.8140106201172]]"
Red Light,0.53,"[[238.33718872070312, 187.59017944335938, 244.4591827392578, 191.00665283203125]]"
Speed Limit 110,0.70,"[[159.6482391357422, 216.91656494140625, 167.18667602539062, 227.35992431640625]]"
Red Light,0.28,"[[235.8658447265625, 186.31898498535156, 241.7190704345703, 190.4185333251953]]"
Speed Limit 110,0.52,"[[152.7915496826172, 215.7847442626953, 161.07974243164062, 227.159423828125]]"
Speed Limit 110,0.57,"[[144.87863159179688, 213.36924743652344, 154.39686584472656, 226.90768432617188]]"
Speed Limit 110,0.58,"[[144.88937377929688, 213.3665008544922, 154.39578247070312, 226.91343688964844]]"
Speed Limit 110,0.81,"[[125.24183654785156, 209.26829528808594, 136.32650756835938, 225.0271453857422]]"
Red Light,0.40,"[[227.6430206298828, 181.44815063476562, 233.82420349121094, 185.49041748046875]]"
Speed Limit 110,0.87,"[[114.18431854248047, 206.85719299316406, 126.06542205810547, 224.00511169433594]]"
Speed Limit 110,0.87,"[[114.18498992919922, 206.85830688476562, 126.06482696533203, 224.00491333007812]]"
Speed Limit 110,0.88,"[[100.18769836425781, 203.10000610351562, 113.72203063964844, 222.91017150878906]]"
Red Light,0.33,"[[223.2101287841797, 178.64974975585938, 230.4197998046875, 182.38882446289062]]"
Speed Limit 110,0.89,"[[100.18724060058594, 203.0965576171875, 113.72824096679688, 222.92666625976562]]"
Red Light,0.34,"[[223.43226623535156, 178.6106719970703, 230.49029541015625, 182.36070251464844]]"
Speed Limit 110,0.84,"[[84.25218200683594, 199.01588439941406, 98.4314956665039, 221.0629119873047]]"
Red Light,0.34,"[[220.792236328125, 176.7170867919922, 229.04141235351562, 180.9730224609375]]"
Speed Limit 110,0.76,"[[66.27790069580078, 192.7211151123047, 80.62566375732422, 219.0433349609375]]"
Speed Limit 110,0.78,"[[66.28194427490234, 192.71688842773438, 80.626220703125, 219.01776123046875]]"
Speed Limit 110,0.89,"[[45.20209503173828, 185.7474365234375, 59.73787307739258, 214.8096160888672]]"
Red Light,0.66,"[[218.4787139892578, 173.47357177734375, 226.23609924316406, 177.33230590820312]]"
Red Light,0.65,"[[217.72056579589844, 171.28390502929688, 224.44915771484375, 175.30799865722656]]"
Speed Limit 80,0.50,"[[21.79598617553711, 177.07164001464844, 35.55793380737305, 210.02366638183594]]"
Speed Limit 120,0.47,"[[21.157878875732422, 177.26783752441406, 35.43855667114258, 208.92486572265625]]"
Red Light,0.33,"[[215.820068359375, 168.64703369140625, 223.36172485351562, 173.35263061523438]]"
Red Light,0.39,"[[212.8871307373047, 163.38113403320312, 220.78814697265625, 168.56088256835938]]"
Red Light,0.53,"[[209.48252868652344, 153.83831787109375, 218.96609497070312, 159.33734130859375]]"
Red Light,0.65,"[[209.29164123535156, 150.0496826171875, 218.2647247314453, 155.78538513183594]]"
Red Light,0.68,"[[207.7478790283203, 145.56248474121094, 218.3087921142578, 151.68814086914062]]"
Red Light,0.73,"[[207.40716552734375, 140.79180908203125, 217.23159790039062, 147.1194610595703]]"
Red Light,0.78,"[[205.6088409423828, 129.8052978515625, 216.87969970703125, 137.29473876953125]]"
Red Light,0.74,"[[205.3700408935547, 122.98226928710938, 218.7495880126953, 131.34922790527344]]"
Red Light,0.75,"[[205.04335021972656, 116.03235626220703, 218.49522399902344, 124.59786224365234]]"
Red Light,0.74,"[[205.0232696533203, 116.02484130859375, 218.4755401611328, 124.587890625]]"
Red Light,0.75,"[[204.56724548339844, 98.74488067626953, 219.7422637939453, 107.64035034179688]]"
Red Light,0.61,"[[203.6294708251953, 88.3460464477539, 220.78195190429688, 98.65618133544922]]"
Green Light,0.28,"[[203.72576904296875, 88.29891204833984, 220.58981323242188, 98.33939361572266]]"
Red Light,0.60,"[[203.62185668945312, 88.3493423461914, 220.7571258544922, 98.642822265625]]"
Green Light,0.27,"[[203.7310028076172, 88.29470825195312, 220.5587158203125, 98.33428192138672]]"
Red Light,0.75,"[[203.73651123046875, 76.03564453125, 221.40084838867188, 87.73674011230469]]"
Red Light,0.70,"[[203.71044921875, 47.306800842285156, 223.51617431640625, 62.2327995300293]]"
Green Light,0.36,"[[203.2191925048828, 47.17695236206055, 223.28167724609375, 61.86794662475586]]"
Red Light,0.74,"[[202.24378967285156, 11.113642692565918, 226.3729705810547, 28.634004592895508]]"
Red Light,0.32,"[[161.20449829101562, 204.53953552246094, 167.7153778076172, 208.16392517089844]]"
Red Light,0.64,"[[180.89126586914062, 204.40655517578125, 187.47227478027344, 207.9249725341797]]"
Red Light,0.60,"[[198.1962432861328, 204.44326782226562, 204.89373779296875, 208.0209197998047]]"
Red Light,0.54,"[[182.6602783203125, 201.8373565673828, 189.66336059570312, 206.33474731445312]]"
Red Light,0.40,"[[201.93040466308594, 201.93077087402344, 209.20657348632812, 206.06507873535156]]"
Red Light,0.47,"[[201.3244171142578, 199.75514221191406, 208.89796447753906, 204.5185089111328]]"
Red Light,0.70,"[[201.50689697265625, 199.5465087890625, 209.32150268554688, 203.51394653320312]]"
Red Light,0.56,"[[180.04762268066406, 199.04408264160156, 187.97084045410156, 204.0187530517578]]"
Red Light,0.66,"[[200.70225524902344, 194.31321716308594, 209.38922119140625, 199.12625122070312]]"
Red Light,0.53,"[[176.4676971435547, 194.315673828125, 184.9529266357422, 199.34286499023438]]"
Red Light,0.66,"[[200.69900512695312, 194.3142547607422, 209.38790893554688, 199.12208557128906]]"
Red Light,0.53,"[[176.46533203125, 194.31369018554688, 184.95433044433594, 199.343017578125]]"
Red Light,0.52,"[[174.16290283203125, 190.30848693847656, 183.48760986328125, 195.91294860839844]]"
Red Light,0.36,"[[201.64151000976562, 190.05715942382812, 211.5594024658203, 195.6761016845703]]"
Red Light,0.70,"[[208.1876678466797, 183.9550018310547, 219.04910278320312, 189.64483642578125]]"
Red Light,0.62,"[[176.09869384765625, 184.82281494140625, 186.51449584960938, 190.59747314453125]]"
Red Light,0.83,"[[178.13645935058594, 181.9899139404297, 189.09690856933594, 188.66114807128906]]"
Red Light,0.75,"[[212.32635498046875, 181.09017944335938, 222.68113708496094, 187.65048217773438]]"
Red Light,0.77,"[[227.3383331298828, 171.83213806152344, 240.03919982910156, 178.69839477539062]]"
Red Light,0.76,"[[186.9388427734375, 174.08407592773438, 200.59432983398438, 181.6570587158203]]"
Red Light,0.85,"[[241.6249542236328, 162.11026000976562, 256.5908203125, 171.0293426513672]]"
Red Light,0.70,"[[196.85533142089844, 166.21791076660156, 211.8533477783203, 175.1619873046875]]"
Red Light,0.72,"[[209.70030212402344, 156.70632934570312, 226.05772399902344, 165.86212158203125]]"
Red Light,0.64,"[[260.230712890625, 150.59454345703125, 278.03302001953125, 160.34103393554688]]"
Red Light,0.74,"[[270.9178771972656, 143.00515747070312, 289.9013366699219, 153.5735321044922]]"
Red Light,0.73,"[[215.7278289794922, 150.03736877441406, 233.9681396484375, 160.91549682617188]]"
Red Light,0.81,"[[312.3242492675781, 102.14749145507812, 335.7950134277344, 116.81974792480469]]"
Red Light,0.78,"[[235.73590087890625, 112.32635498046875, 261.2872314453125, 127.47618865966797]]"
Green Light,0.33,"[[287.5359802246094, 203.0091552734375, 293.4119567871094, 206.45030212402344]]"
Red Light,0.81,"[[312.62298583984375, 102.25152587890625, 335.79351806640625, 117.04585266113281]]"
Red Light,0.78,"[[235.74147033691406, 112.33326721191406, 261.2834777832031, 127.46586608886719]]"
Green Light,0.33,"[[287.53509521484375, 203.0056610107422, 293.4144592285156, 206.44696044921875]]"
Red Light,0.87,"[[245.0670166015625, 80.091552734375, 278.37664794921875, 101.93157196044922]]"
Red Light,0.78,"[[336.076904296875, 73.0830078125, 362.56805419921875, 92.3432846069336]]"
Red Light,0.32,"[[169.54588317871094, 202.67593383789062, 175.784912109375, 206.35012817382812]]"
Green Light,0.55,"[[146.49143981933594, 199.53651428222656, 152.6497802734375, 204.87135314941406]]"
Green Light,0.30,"[[145.5203094482422, 200.22325134277344, 151.98631286621094, 204.58702087402344]]"
Green Light,0.56,"[[146.45138549804688, 199.54733276367188, 152.60008239746094, 204.85699462890625]]"
Green Light,0.31,"[[145.43276977539062, 200.21910095214844, 151.95086669921875, 204.59759521484375]]"
Green Light,0.81,"[[126.7489242553711, 186.4415283203125, 136.53306579589844, 192.3146209716797]]"
Green Light,0.53,"[[154.1584014892578, 189.13706970214844, 163.9960479736328, 195.0634002685547]]"
Green Light,0.74,"[[128.8196258544922, 185.6593780517578, 138.6962432861328, 191.4022674560547]]"
Green Light,0.65,"[[157.3909912109375, 188.4381866455078, 166.7344970703125, 193.3379364013672]]"
Green Light,0.77,"[[160.34510803222656, 186.0559539794922, 170.2723388671875, 192.30430603027344]]"
Green Light,0.71,"[[130.951171875, 183.91734313964844, 141.30010986328125, 190.4136962890625]]"
Green Light,0.73,"[[137.56385803222656, 180.54653930664062, 148.8764190673828, 187.50611877441406]]"
Green Light,0.64,"[[169.7073974609375, 182.39010620117188, 180.9285125732422, 189.06117248535156]]"
Green Light,0.79,"[[175.26707458496094, 180.18179321289062, 186.91519165039062, 187.22772216796875]]"
Green Light,0.68,"[[141.34278869628906, 178.68109130859375, 153.51841735839844, 185.77149963378906]]"
Green Light,0.91,"[[143.78102111816406, 154.29135131835938, 160.65391540527344, 165.11773681640625]]"
Green Light,0.73,"[[193.50289916992188, 153.0031280517578, 211.89602661132812, 162.650146484375]]"
Green Light,0.91,"[[143.78213500976562, 154.29373168945312, 160.64532470703125, 165.1080322265625]]"
Green Light,0.72,"[[193.50758361816406, 153.00265502929688, 211.89639282226562, 162.6503448486328]]"
Green Light,0.91,"[[127.95954132080078, 134.82835388183594, 149.1283416748047, 146.3522491455078]]"
Green Light,0.89,"[[190.84747314453125, 129.74212646484375, 213.3861846923828, 141.3868865966797]]"
Green Light,0.91,"[[127.96127319335938, 134.83201599121094, 149.1298370361328, 146.35435485839844]]"
Green Light,0.89,"[[190.8457489013672, 129.7412109375, 213.3819580078125, 141.37905883789062]]"
Green Light,0.96,"[[188.32823181152344, 87.63782501220703, 219.73294067382812, 106.12950134277344]]"
Green Light,0.81,"[[108.29541778564453, 104.17066955566406, 134.34707641601562, 119.80487060546875]]"
Green Light,0.96,"[[188.3572998046875, 87.65879821777344, 219.7256622314453, 106.1084976196289]]"
Green Light,0.81,"[[108.29813385009766, 104.18963623046875, 134.32803344726562, 119.80437469482422]]"
Green Light,0.87,"[[188.09693908691406, 42.37628936767578, 228.52322387695312, 66.18644714355469]]"
Green Light,0.81,"[[92.73114013671875, 74.16834259033203, 122.8406982421875, 95.16280364990234]]"
Red Light,0.26,"[[277.8456115722656, 215.35934448242188, 280.6645812988281, 222.3363800048828]]"
Red Light,0.42,"[[319.48809814453125, 208.40509033203125, 322.5299072265625, 216.81625366210938]]"
Red Light,0.69,"[[323.2210388183594, 207.88470458984375, 326.0898742675781, 217.20655822753906]]"
Red Light,0.47,"[[329.7984313964844, 203.088623046875, 333.6806640625, 213.73895263671875]]"
Red Light,0.78,"[[327.8182067871094, 202.93695068359375, 331.60626220703125, 214.8252410888672]]"
Red Light,0.82,"[[322.22540283203125, 203.35585021972656, 326.1380920410156, 214.6811065673828]]"
Red Light,0.59,"[[315.2785339355469, 203.51402282714844, 319.09600830078125, 215.06105041503906]]"
Red Light,0.59,"[[315.27886962890625, 203.5787353515625, 319.0820007324219, 215.0569610595703]]"
Red Light,0.81,"[[311.64544677734375, 200.68003845214844, 316.3655700683594, 214.21649169921875]]"
Red Light,0.72,"[[315.6155090332031, 198.84617614746094, 320.5545349121094, 213.30003356933594]]"
Red Light,0.68,"[[318.9775695800781, 197.05963134765625, 324.3498840332031, 211.96189880371094]]"
Red Light,0.60,"[[323.53515625, 195.26119995117188, 329.0759582519531, 211.23924255371094]]"
Red Light,0.79,"[[341.5997619628906, 188.520263671875, 347.7901306152344, 206.2129364013672]]"
Red Light,0.61,"[[345.365966796875, 186.20294189453125, 351.6362609863281, 205.36373901367188]]"
Red Light,0.78,"[[348.75714111328125, 184.2345733642578, 355.51324462890625, 204.43710327148438]]"
Red Light,0.80,"[[351.6246032714844, 182.48556518554688, 358.6552734375, 203.3679656982422]]"
Red Light,0.76,"[[359.6414489746094, 176.4076690673828, 366.88873291015625, 200.14028930664062]]"
Red Light,0.66,"[[361.5341796875, 175.26516723632812, 368.867919921875, 198.85186767578125]]"
